run_id,task_id,agent_id,model_id,label,seg,proj,N,d,H,C,fisher,n_steps,n_frag,total_chars,mean_frag_len,n_tool_calls,repeat_ratio
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,pca1,100,3,0.9948473244412301,0.005084274811745667,0.006990736247349044,7,100,5346,53.46,6,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,pca1,100,4,0.9729703637568544,0.041125383403160264,0.07578081706181025,7,100,5346,53.46,6,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,norm,100,3,0.9853945517971651,0.013694842682834453,0.009091764084188086,7,100,5346,53.46,6,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,norm,100,4,0.9628006709496064,0.04574731479718732,0.045199600361895215,7,100,5346,53.46,6,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,cos_step,200,3,0.9800603594999293,0.018826281375212302,0.013374107999698185,18,200,11503,57.515,17,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,cos_step,200,4,0.9624918895588072,0.04670486744983403,0.03633284890275643,18,200,11503,57.515,17,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,cos_task,200,3,0.9913260067881094,0.008573765737763443,0.006787493526853379,18,200,11503,57.515,17,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,cos_task,200,4,0.9811558927990556,0.02452273017738907,0.024878696250658378,18,200,11503,57.515,17,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,pca1,200,3,0.9956187322401681,0.004410169356321221,0.003768738624380387,18,200,11503,57.515,17,0.0
20260217_mini-v2.0.0_glm-5-high/django__django-15280,django__django-15280,mini-swe-agent-2.0.0,glm-5@high,0,all_sent,pca1,200,4,0.9827837007534371,0.023610683384575136,0.029247045986911496,18,200,11503,57.515,17,0.0
