run_id,label,seg,proj,N,lb_p,rho_with_cos_step
20250822_mini-v1.9.1_glm-4.5/django__django-15554,1,reason_sent,pca1,200,0.26076221383758064,-0.16395205745023422
20250822_mini-v1.9.1_glm-4.5/django__django-15554,1,reason_sent,norm,200,0.07527433978568425,1.0
20250822_mini-v1.9.1_glm-4.5/django__django-15563,1,reason_sent,cos_step,200,0.0012478990201925644,
20250822_mini-v1.9.1_glm-4.5/django__django-15563,1,reason_sent,cos_task,200,0.9187010834100343,-0.07434581000200723
20250822_mini-v1.9.1_glm-4.5/django__django-15563,1,reason_sent,pca1,200,0.33410568535404844,-0.07451968621939252
20250822_mini-v1.9.1_glm-4.5/django__django-15563,1,reason_sent,norm,200,0.0011075669845566286,0.9990493311801092
20250822_mini-v1.9.1_glm-4.5/django__django-16032,1,reason_sent,cos_step,200,1.8618730131572024e-05,
20250822_mini-v1.9.1_glm-4.5/django__django-16032,1,reason_sent,cos_task,200,0.00013146665410275032,0.008978388618541569
20250822_mini-v1.9.1_glm-4.5/django__django-16032,1,reason_sent,pca1,200,0.1537695156976837,-0.14369994046644208
20250822_mini-v1.9.1_glm-4.5/django__django-16032,1,reason_sent,norm,200,3.293152605123234e-05,0.9993923009557172
20250822_mini-v1.9.1_glm-4.5/django__django-16145,0,reason_sent,cos_step,200,0.4604194122422225,
20250822_mini-v1.9.1_glm-4.5/django__django-16145,0,reason_sent,cos_task,200,0.77889008250119,-0.03594265500466138
20250822_mini-v1.9.1_glm-4.5/django__django-16145,0,reason_sent,pca1,200,0.3876706938298252,-0.04318150877246485
20250822_mini-v1.9.1_glm-4.5/django__django-16145,0,reason_sent,norm,200,0.5612164702872828,1.0
20250822_mini-v1.9.1_glm-4.5/django__django-7530,0,reason_sent,cos_step,200,0.9502518452119671,
20250822_mini-v1.9.1_glm-4.5/django__django-7530,0,reason_sent,cos_task,200,0.010645314756318892,0.030653873586647493
20250822_mini-v1.9.1_glm-4.5/django__django-7530,0,reason_sent,pca1,200,0.3513528041932864,-0.28473756508091125
20250822_mini-v1.9.1_glm-4.5/django__django-7530,0,reason_sent,norm,200,0.7518360208984138,0.9998629433971459
20250822_mini-v1.9.1_glm-4.5/matplotlib__matplotlib-25775,0,reason_sent,cos_step,200,4.911666742993057e-06,
20250822_mini-v1.9.1_glm-4.5/matplotlib__matplotlib-25775,0,reason_sent,cos_task,200,0.0033150338678942957,0.4816962909107569
20250822_mini-v1.9.1_glm-4.5/matplotlib__matplotlib-25775,0,reason_sent,pca1,200,0.06645951223367974,-0.1579863635846342
20250822_mini-v1.9.1_glm-4.5/matplotlib__matplotlib-25775,0,reason_sent,norm,200,3.372027757806164e-06,1.0
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-10914,0,reason_sent,cos_step,200,0.0018619803463550298,
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-10914,0,reason_sent,cos_task,200,0.8358479760875147,0.35568399466653894
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-10914,0,reason_sent,pca1,200,0.0003785878876684383,-0.3025903082764153
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-10914,0,reason_sent,norm,200,0.0018637182591193923,1.0
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-11555,0,reason_sent,cos_step,200,6.62503202628145e-05,
20250929_mini-v1.13.3_sonnet-4-5-20250929/django__django-11555,0,reason_sent,cos_task,200,0.0014956641831833156,0.34901875688279044
