seg,proj,d,N,population,n,frac_seen_median,auroc_base,auroc_chaos,auroc_full
step,cos_step,3,50,все допустимые при N,4109,0.704225352112676,0.537351894606765,0.5166585069456968,0.5275551363931831
step,cos_step,3,50,фиксированная (≥200 фрагм.),103,0.2,0.7380681818181818,0.5028409090909091,0.6840909090909091
step,cos_step,3,100,все допустимые при N,831,0.8130081300813008,0.5256665204888418,0.5451162371400461,0.5483105211370018
step,cos_step,3,100,фиксированная (≥200 фрагм.),103,0.4,0.6906249999999999,0.70625,0.709090909090909
step,cos_step,3,200,все допустимые при N,103,0.8,0.7417613636363637,0.7809659090909091,0.7571022727272727
step,cos_step,3,200,фиксированная (≥200 фрагм.),103,0.8,0.7417613636363637,0.7809659090909091,0.7571022727272727
step,cos_step,4,50,все допустимые при N,4109,0.704225352112676,0.537351894606765,0.5071842377661033,0.5232284914969406
step,cos_step,4,50,фиксированная (≥200 фрагм.),103,0.2,0.7380681818181818,0.5757102272727272,0.7301136363636364
step,cos_step,4,100,все допустимые при N,831,0.8130081300813008,0.5256665204888418,0.5475280580537023,0.5510014277239967
step,cos_step,4,100,фиксированная (≥200 фрагм.),103,0.4,0.6906249999999999,0.7079545454545455,0.6630681818181818
step,cos_step,4,200,все допустимые при N,103,0.8,0.7417613636363637,0.8330965909090908,0.8440340909090909
step,cos_step,4,200,фиксированная (≥200 фрагм.),103,0.8,0.7417613636363637,0.8330965909090908,0.8440340909090909
step,cos_task,3,50,все допустимые при N,4109,0.704225352112676,0.537351894606765,0.5293805535997522,0.5389423974571886
step,cos_task,3,50,фиксированная (≥200 фрагм.),103,0.2,0.7380681818181818,0.6352272727272728,0.6901988636363636
step,cos_task,3,100,все допустимые при N,831,0.8130081300813008,0.5256665204888418,0.5342200498002129,0.5391284310401916
step,cos_task,3,100,фиксированная (≥200 фрагм.),103,0.4,0.6906249999999999,0.6897727272727273,0.7289772727272728
step,cos_task,3,200,все допустимые при N,103,0.8,0.7417613636363637,0.7275568181818182,0.7663352272727273
step,cos_task,3,200,фиксированная (≥200 фрагм.),103,0.8,0.7417613636363637,0.7275568181818182,0.7663352272727273
step,cos_task,4,50,все допустимые при N,4109,0.704225352112676,0.537351894606765,0.5056767399678744,0.5207188580170616
step,cos_task,4,50,фиксированная (≥200 фрагм.),103,0.2,0.7380681818181818,0.5941761363636364,0.6799715909090909
step,cos_task,4,100,все допустимые при N,831,0.8130081300813008,0.5256665204888418,0.5152264484901752,0.5234661754965091
step,cos_task,4,100,фиксированная (≥200 фрагм.),103,0.4,0.6906249999999999,0.7160511363636364,0.7346590909090909
step,cos_task,4,200,все допустимые при N,103,0.8,0.7417613636363637,0.712784090909091,0.7730113636363636
step,cos_task,4,200,фиксированная (≥200 фрагм.),103,0.8,0.7417613636363637,0.712784090909091,0.7730113636363636
step,norm,3,50,все допустимые при N,4109,0.704225352112676,0.537351894606765,0.5167304060671151,0.5275475443205586
step,norm,3,50,фиксированная (≥200 фрагм.),103,0.2,0.7380681818181818,0.5028409090909091,0.6897727272727273
step,norm,3,100,все допустимые при N,831,0.8130081300813008,0.5256665204888418,0.5449478577112014,0.5481423670684886
step,norm,3,100,фиксированная (≥200 фрагм.),103,0.4,0.6906249999999999,0.70625,0.709090909090909
step,norm,3,200,все допустимые при N,103,0.8,0.7417613636363637,0.7809659090909091,0.7571022727272727
step,norm,3,200,фиксированная (≥200 фрагм.),103,0.8,0.7417613636363637,0.7809659090909091,0.7571022727272727
step,norm,4,50,все допустимые при N,4109,0.704225352112676,0.537351894606765,0.5074662855608885,0.5233105629771784
step,norm,4,50,фиксированная (≥200 фрагм.),103,0.2,0.7380681818181818,0.5678977272727272,0.7301136363636364
step,norm,4,100,все допустимые при N,831,0.8130081300813008,0.5256665204888418,0.5476824972378223,0.5509873394170697
step,norm,4,100,фиксированная (≥200 фрагм.),103,0.4,0.6906249999999999,0.7079545454545455,0.6630681818181818
step,norm,4,200,все допустимые при N,103,0.8,0.7417613636363637,0.8330965909090908,0.8440340909090909
step,norm,4,200,фиксированная (≥200 фрагм.),103,0.8,0.7417613636363637,0.8330965909090908,0.8440340909090909
step,pca1,3,50,все допустимые при N,4109,0.704225352112676,0.537351894606765,0.5066683111710852,0.5228361872633126
step,pca1,3,50,фиксированная (≥200 фрагм.),103,0.2,0.7380681818181818,0.6359374999999999,0.7011363636363637
step,pca1,3,100,все допустимые при N,831,0.8130081300813008,0.5256665204888418,0.5516131314758609,0.546738211405742
step,pca1,3,100,фиксированная (≥200 фрагм.),103,0.4,0.6906249999999999,0.6875,0.7261363636363636
step,pca1,3,200,все допустимые при N,103,0.8,0.7417613636363637,0.7811079545454545,0.7838068181818182
step,pca1,3,200,фиксированная (≥200 фрагм.),103,0.8,0.7417613636363637,0.7811079545454545,0.7838068181818182
step,pca1,4,50,все допустимые при N,4109,0.704225352112676,0.537351894606765,0.5008862000787706,0.5184739712241646
step,pca1,4,50,фиксированная (≥200 фрагм.),103,0.2,0.7380681818181818,0.740909090909091,0.7650568181818181
step,pca1,4,100,все допустимые при N,831,0.8130081300813008,0.5256665204888418,0.5432397129933444,0.5427859986543085
step,pca1,4,100,фиксированная (≥200 фрагм.),103,0.4,0.6906249999999999,0.7319602272727272,0.7536931818181818
step,pca1,4,200,все допустимые при N,103,0.8,0.7417613636363637,0.8279829545454545,0.8083806818181818
step,pca1,4,200,фиксированная (≥200 фрагм.),103,0.8,0.7417613636363637,0.8279829545454545,0.8083806818181818
